Data Current as of Date,Application ID,Primary Contractor Name,Contractor Type,Project Type,Technology 1,Technology 2,Technology 3,Project Title,Contractor Street,Contractor City,Contractor State/Province,Contractor Zip/Postal Code,Contractor Website,Award Date,Award Amount (US Dollars)
12/8/20,84755,"ENER-G ROTORS, Inc",Early Stage Company,Business Support,Cogeneration,Combined Heat and Power,,"Development of Manufacturing Plan for Ener-G-Rotors, Inc.",112 Erie Blvd,Schenectady,NY,12305,http://www.ener-g-rotors.com/,1/9/13,35000
12/8/20,86635,NYS Electric & Gas Corporation,Utility,Business Support,Cogeneration,Combined Heat and Power,,Combined Heat & Power Project:Combined Heat & Power for Mixed-Use Areas,"Corp. Drive, Kirkwood Industrial Pk P.O. Box 5224",Binghamton,NY,13902-5224,http://www.nyseg.com/,5/18/99,295591
12/8/20,85325,"ENER-G ROTORS, Inc",Early Stage Company,Business Support,Cogeneration,Combined Heat and Power,,Business Growth and Development,112 Erie Blvd,Schenectady,NY,12305,http://www.ener-g-rotors.com/,9/10/09,400000
12/8/20,86847,"LSK Smoked Turkey Products, Inc.",Early Stage Company,Demonstration,Cogeneration,Combined Heat and Power,,LSK Smoked Turkey Products CHP Demonstration,1575 Bronx River Ave,Bronx,NY,10460,,3/21/02,286480
12/8/20,86637,Dunkirk Radiator Corp,Corporate,Demonstration,Cogeneration,Combined Heat and Power,,"Self-Powered, Gas-Fired Heating System",2201 Dwyer Ave,Utica,NY,13501,https://dunkirk.com/,9/10/99,582212
12/8/20,84719,"ENER-G ROTORS, Inc",Early Stage Company,Demonstration,Cogeneration,Combined Heat and Power,,Demonstration of 2 additional Beta units in conjunction with contract 18791,112 Erie Blvd,Schenectady,NY,12305,http://www.ener-g-rotors.com/,12/2/11,655000
12/8/20,86290,SABIC Innovative Plastics,Corporate,Demonstration,Cogeneration,Combined Heat and Power,,Sabic Innovative Plastics Back Pressure Steam Turbine,1 Noryl Ave,Selkirk,NY,12158,https://www.sabic.com/en,12/8/08,816000
12/8/20,84910,"ENER-G ROTORS, Inc",Early Stage Company,Demonstration,Cogeneration,Combined Heat and Power,,Demonstration of the Conversion of Low-Temperature Waste Heat into Electricity,112 Erie Blvd,Schenectady,NY,12305,http://www.ener-g-rotors.com/,5/20/14,1860500
12/8/20,86848,Rotary Power Marine Corp.,Early Stage Company,Product Development,Cogeneration,Combined Heat and Power,,45 kW Rotary Engine CHP Unit,1 Garvies Point Rd # 2,Glen Cove,NY,11542,,11/8/01,31849
12/8/20,86170,"Clever Fellows Innovation Consortium, In",Corporate,Product Development,Cogeneration,Combined Heat and Power,,Combined Heat and Power for Households: The Practical Acoustic-Stirling Solution,302 10th St,Troy,NY,12180,http://www.rixindustries.com,10/12/07,80346
12/8/20,85256,National Oilheat Research Alliance,Laboratory / Research Center,Product Development,Cogeneration,Combined Heat and Power,,"Self-Powered, Oil-Fired Heating System Based on Thermovoltaic Power Generation",600 Cameron Street,Alexandria,VA,22314,https://noraweb.org/,3/5/10,135693
12/8/20,87190,Brookhaven National Lab,Laboratory / Research Center,Product Development,Cogeneration,Combined Heat and Power,,Self-Powered Oil-Fired Heating System Based on Thermovoltaic Power Generation,PO Box 5000,Upton,NY,11973,https://www.bnl.gov/world/,3/9/06,198296
12/8/20,85358,"ENER-G ROTORS, Inc",Early Stage Company,Product Development,Cogeneration,Combined Heat and Power,,Residential Renewable Energy,112 Erie Blvd,Schenectady,NY,12305,http://www.ener-g-rotors.com/,6/15/10,299000
12/8/20,87378,"ENER-G ROTORS, Inc",Early Stage Company,Product Development,Cogeneration,Combined Heat and Power,,Low Temperature Waste Heat to Electricity Demonstration,112 Erie Blvd,Schenectady,NY,12305,http://www.ener-g-rotors.com/,5/13/09,399000
12/8/20,86899,"ECR International, Inc.",Corporate,Product Development,Cogeneration,Combined Heat and Power,,"Gas-fired, Integrated Space and Water Heating Appliance  :Gas-fired, Integrated",2201 Dwyer Ave,Utica,NY,13501,http://www.ecrinternational.com,4/23/02,412627
12/8/20,85415,"ENER-G ROTORS, Inc",Early Stage Company,Product Development,Cogeneration,Combined Heat and Power,,Development of 50kW Organic Rankine Cycle motor,112 Erie Blvd,Schenectady,NY,12305,http://www.ener-g-rotors.com/,7/12/11,655000
12/8/20,87329,Union College,University,Research Study,Cogeneration,Combined Heat and Power,,"Development of a High-Performance, Optically Enhanced Solar Thermal Collector",807 Union Street,Schenectady,NY,12308,https://www.union.edu/,7/11/07,39922
12/8/20,86186,Gas Technology Institute,Laboratory / Research Center,Research Study,Cogeneration,Combined Heat and Power,,Micro CHP Proposal for Residential Buildings,1700 S Mount Prospect Rd,Des Plaines,IL,60018,http://www.gastechnology.org/Pages/default.aspx,10/12/07,73699
12/8/20,87235,"Ener-G-Rotors, Inc.",Early Stage Company,Research Study,Cogeneration,Combined Heat and Power,,TGE/High Temperature Waste Heat Capture System,112 Erie Blvd,Schenectady,NY,12305,http://www.ener-g-rotors.com/,3/1/06,97974
12/8/20,75447,"Foster-Miller, Inc.",Corporate,Research Study,Cogeneration,Combined Heat and Power,,Feasibility of Stirling Engine Solutions for Today's Energy and Environment,350 2nd Ave,Waltham,MA,2451,https://qinetiq-na.com/,3/13/06,100000
12/8/20,75145,"Alliance for Sustainable Energy, LLC",Laboratory / Research Center,Research Study,Cogeneration,Combined Heat and Power,,Create database/clearing house portal for DG systems,15013 Denver West Parkway,Golden,CO,80401,http://www.allianceforsustainableenergy.org/,4/27/04,589521
12/8/20,86859,"Fingerlakes Aquaculture, Inc.",Early Stage Company,Demonstration,Agriculture,Controlled environment agriculture,,Improve Efficiency of Aquaculture System:Innovative Feeding System Application,7627 County Road 36,Naples,NY,14512,http://www.fingerlakesaquaculture.com/,11/15/02,73000
12/8/20,87063,Cornell University-Office of Sponsored P,University,Demonstration,Agriculture,Controlled environment agriculture,,Treatment Methods to Eliminate Spinach Root Disease,216 Riley-Robb Hall,Ithaca,New York,14853,https://www.osp.cornell.edu/,4/6/04,74572
12/8/20,87129,Phyllis E. Underwood,Early Stage Company,Demonstration,Agriculture,Controlled environment agriculture,,The Hydroponic Herb Greenhouse Production Facility,588 Juniper Swamp Rd,Shushan,NY,12873,http://www.shushanvalleyhydrofarm.com/,10/5/04,76500
12/8/20,87298,"Town of Hempstead,",Municipality / Government Agency,Demonstration,Agriculture,Controlled environment agriculture,,Renewable Energy Aquaculture Facility,1 Washington St,Hempstead,NY,11550,https://toh.li/,12/29/06,180000
12/8/20,86504,Cornell University,University,Demonstration,Agriculture,Controlled environment agriculture,,Aquaculture Commercialization,341 Pine Tree Road,Ithaca,New York,14850,http://www.cornell.edu/,3/26/97,200000
12/8/20,86719,CADE,Industry / Trade Association,Demonstration,Agriculture,Controlled environment agriculture,,Pastured Meats Cooperative,250 Main St Ste 214,Oneonta,NY,13820,http://www.cadefarms.org/,3/6/00,208500
12/8/20,86596,"Fingerlakes Aquaculture, Inc.",Early Stage Company,Demonstration,Agriculture,Controlled environment agriculture,,Aquaculture Commercialization - Phase II:Equity Position,7627 County Road 36,Naples,NY,14512,http://www.fingerlakesaquaculture.com/,5/10/00,250000
12/8/20,86554,Cornell University,University,Demonstration,Agriculture,Controlled environment agriculture,,Energy Management for Greenhouses:Energy Management for CEA Production,341 Pine Tree Road,Ithaca,New York,14850,http://www.cornell.edu/,3/16/98,258588
12/8/20,86364,SUNY Res. Found/Morrisville,University,Demonstration,Agriculture,Controlled environment agriculture,,Demonstration of an Aquaponics Controlled Environment Agriculture System for Com,80 Eaton St,Morrisville,NY,13408,https://www.suny.edu/campuses/morrisville/,6/15/10,800000
12/8/20,88315,Concertio,Early Stage Company,Business Support,Data Centers and Devices,,,DatArcs 76West,"149 5th Ave., 9th Floor",New York,NY,10010,https://www.concertio.com,3/27/17,250000
12/8/20,87099,"Herbert E. Hirschfeld, P.E.",Consultant,Demonstration,Data Centers and Devices,,,Enabling Technology for Price Sensitive Load Management,"15 Glen Cove Street, Suite 201",Glen Cove,NY,11542,,12/6/04,99760
12/8/20,86329,"Center Information Services, Inc.",Other,Demonstration,Data Centers and Devices,,,Server Room Virtualization Project,1000 Elmwood Ave,Rochester,NY,14620,http://www.cisny.org/,2/20/09,115531
12/8/20,85217,The Research Foundation of SUNY at Bing,University,Demonstration,Data Centers and Devices,,,Energy Conscious Scheduling of Linux servers,4400 Vestal Parkway E,Binghamton,NY,13902,http://www.binghamton.edu/index.php,10/2/09,140342
12/8/20,86377,Tompkins Financial Corporation,Corporate,Demonstration,Data Centers and Devices,,,Server Consolidation and Virtualization,PO Box 460,Ithaca,NY,14851,https://www.tompkinsfinancial.com/,10/26/09,190275
12/8/20,86378,SUNY at Albany,University,Demonstration,Data Centers and Devices,,,Data Center and Server Efficiency: Data Storage Consolidation,"1400 Washington Ave 
Dept of Chemistry",Albany,New York,12222,https://www.albany.edu/,10/30/09,200000
12/8/20,86379,Watchtower Bible &,Other,Demonstration,Data Centers and Devices,,,Wallkill Green Data Center,900 Red Mills Road,Wallkill,New York,12589,http://www.jw.org,4/14/10,200000
12/8/20,84669,The Research Foundation of SUNY at Bing,University,Demonstration,Data Centers and Devices,,,Solid State Disk Based Energy-Efficient Storage System for Servers,85 Murray Hill Rd,Vestal,NY,13850,http://research.binghamton.edu/researchfoundation.php,8/8/11,267381
12/8/20,85279,Intergy Corporation,Early Stage Company,Demonstration,Data Centers and Devices,,,Mount Sinai Data Center Virtualization Project,"7901 Stoneridge Drive, Suite 225",Pleasanton,CA,94588,https://www.intechenergy.net/,6/12/09,300000
12/8/20,86129,SUNY Buffalo,University,Demonstration,Data Centers and Devices,,,Server Efficiency Demonstration Project,119 John Beane Center,Buffalo,New York,14260,http://www.buffalo.edu/,1/19/10,300000
12/8/20,85438,"MTECH Laboratories, LLC",Early Stage Company,Product Development,Data Centers and Devices,,,Development of a cryogenically cooled DC-DC converter and a data server/computer,831 Rt 67 Bldg 45C,Ballston Spa,NY,12020,http://mtechlabs.com/,3/9/11,120167
12/8/20,84702,Clarkson University,University,Product Development,Data Centers and Devices,,,Green Data Center Computing:  A Demonstration Project,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,1/11/12,699602
12/8/20,84978,Syracuse University,University,Research Study,Data Centers and Devices,,,Cooling Unit Bypass Fans for Air-Conditioning Management in Enclosed-Aisle Data,University Place,Syracuse,NY,13244,http://www.syr.edu,11/24/14,100000
12/8/20,84977,Research Foundation of SUNY,University,Technology Feasibility/Assessment,Data Centers and Devices,,,Effectiveness of Warm Water Direct-Liquid Cooling Systems for Data Centers,"Suite 211Sponsored Programs Administration UB Commons

P.O. Box 9",Albany,NY,12201-0009,https://www.rfsuny.org/,12/2/14,475601
12/8/20,84985,NECEC Institute,Venture Development Organization,Business Support,Design innovation,Software,,Cleantech Commercialization Toolkit,"250 Summer Street, 5th Floor",Boston,MA,2210,https://www.necec.org/,12/22/14,287000
12/8/20,88316,"Global Thermostat, LLC",Early Stage Company,Business Support,Emissions control,,,Global Thermostat 76West,335 Riverside Dr,New York,NY,10025,http://www.globalthermostat.com,2/14/17,250000
12/8/20,86050,Clarkson University,University,Demonstration,Emissions control,,,Urban Airshed Monitoring  New Tools for Aerosol Characterization,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,7/22/08,20000
12/8/20,85164,Clarkson University,University,Demonstration,Emissions control,,,Characterization of Diesel Engine Emissions using Miniature Electrical Aerosol S,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,3/26/07,99685
12/8/20,87221,"Norbord Industries, Inc.",Corporate,Demonstration,Emissions control,,,Use of Regenerative Catalytic Oxidizer in fiber board production facility,"1 Toronto Street, Suite 600",Toronto,Ontario,M9W 1E8,http://www.norbord.com/,2/6/06,245000
12/8/20,86940,"Environmental C&C, Inc.",Other,Demonstration,Emissions control,,,Concentrator Desorption Technology Demonstration,146 Vley Rd,Scotia,NY,12302,https://www.environmentalcc.com/,3/31/03,504144
12/8/20,85089,Consolidated Edison Company of New York (ConEd),Utility,Demonstration,Emissions control,,,Competitive Greenhouse Gas,4 Irving Pl Fl 10,New York,NY,10003,http://www.coned.com,12/21/15,850000
12/8/20,84700,Clarkson University,University,Product Development,Emissions control,,,Developmnet of a Tailored Electrode Concentration Sensor (TECS),8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,12/29/11,40000
12/8/20,86979,"Clarkson Univ., Research Div.",University,Product Development,Emissions control,,,Electrical Aerosol Sizer to measure fine particles by size and charge,8 Clarkson Ave,Potsdam,NY,13699,http://internal.clarkson.edu/catalog/09-10/div_of_research.html,3/31/03,48721
12/8/20,86863,Clarkson University,University,Product Development,Emissions control,,,Commercialization of Turbulent Mixing Condensation,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,3/29/02,68920
12/8/20,85248,Clean Air Technologies,Early Stage Company,Product Development,Emissions control,,,On-Road FTIR System (OFS) Emissions Monitoring:Portable Emissions Monitor for Hy,819 E Ferry St,Buffalo,NY,14211,https://www.globalmrv.com/,7/28/03,75160
12/8/20,86689,"Beltran, Inc.",Corporate,Product Development,Emissions control,,,High-efficiency Power Supply/Electrostatic Precip.:Hi-Eff. Power Supply for Elec,1133 E 35th St,Brooklyn,NY,11210,http://www.beltran-inc.com/,12/7/99,96986
12/8/20,87060,Clarkson University,University,Product Development,Emissions control,,,Micro-Scale Instrument for Aerosol Hydrocarbon Detection,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,9/17/04,158537
12/8/20,86611,"Environmental C&C, Inc.",Other,Product Development,Emissions control,,,Innovative Fluidized Bed VOC Desorption Technique,146 Vley Rd,Scotia,NY,12302,https://www.environmentalcc.com/,2/18/99,250000
12/8/20,86978,"Carthago Int'l Solutions, Inc.",Early Stage Company,Product Development,Emissions control,,,Real-Time Methane Leak Detection System:On Line Methane Leak detection System,2824 Steinway St Ste 240,Astoria,NY,11103,http://www.carthagoinc.com/,3/31/03,450000
12/8/20,86151,Cornell University,University,Research Study,Emissions control,,,Pilot Testing of Sorbent Technology for Mercury Emissions Control,341 Pine Tree Road,Ithaca,New York,14850,http://www.cornell.edu/,3/17/08,152943
12/8/20,75347,"Electrotek Concepts, Inc.",Corporate,Research Study,Emissions control,,,DOE-Verizon NOX Control Technology Field Test,9041 Executive Park Dr Ste 136,Knoxville,TN,37923,https://www.electrotek.com/,8/26/02,423934
12/8/20,87261,City College of New York,University,Technology Feasibility/Assessment,Emissions control,,,Desulfurization of Biogas on Sludge-based Adsorbents,160 Convent Ave,New York,NY,10031,https://www.ccny.cuny.edu/,3/29/06,45886
12/8/20,75323,"Triad Technologies,Inc.",Early Stage Company,Product Development,Emissions control,,,Biofilters for VOC Removal:Hybrid Biofiltration for VOC Control,985 Falls Creek Dr,Vandalia,OH,45377,https://www.triadtechnologies.com/,8/31/00,1545469
12/8/20,75188,Lehigh University,University,Research Study,Emissions control,,,Optimization of SCR Control Technology for Reduced Nox Emissions,"Energy Research Center 
117 ATLSS Drive",Bethlehem,PA,18015,https://www.lehigh.edu/energy/,7/27/07,74531
12/8/20,75435,Southern Research Institute,Laboratory / Research Center,Research Study,Emissions control,,,Demonstration & Evaluation of Emission Control Technology for Non-Road Equipment,"MCS #215
PO Box 10992, Lock Box #992215",Birmingham,AL,35202,https://southernresearch.org/,3/30/05,2334106
12/8/20,75285,The Research Foundation for the State,University,Research Study,Emissions control,,,Enhanced Measurements of Air Emissions,P.O. Box 9,Albany,NY,12201,https://www.rfsuny.org/,4/16/99,4245548
12/8/20,90488,"Electric Power Research Institute, Inc. (EPRI)",Laboratory / Research Center,Demonstration,Equipment innovation,Controls,,"Demonstration of Integrated, Intelligent, Interoperable End-Use Technologies","1325 G Street, NW, Ste 1080",Washington,DC,20005,https://www.epri.com,5/29/18,1102100
12/8/20,208407,Smarter Grid Solutions,Corporate,Research Study,Equipment innovation,Controls,,Study of Reactive Power Dispatch Based on Market Signals,335 Madison Ave Fl 4,New York,NY,10017,http://www.smartergridsolutions.com,1/15/20,221249
